Index,Word,log freq,nr. of tokens,tokens,word score
486,gnome,7.792348924113037,2,gn_ome,-16.31454849243164
487,go-between,0.0,3,go_-_between,-23.993732452392575
488,goaded,6.52649485957079,2,g_oaded,-23.67154312133789
489,goalkeeper,6.455198563340122,2,goal_keeper,-20.527618408203125
490,gold,11.570458253167796,1,gold,-14.338897705078123
491,governed,8.04012466444838,2,govern_ed,-20.84734535217285
492,governess,8.008698182988528,2,govern_ess,-24.328378677368164
493,governor,9.949034367492098,2,govern_or,-17.29828643798828
494,grain,10.346055748595797,1,grain,-17.135971069335938
495,graph,10.630117863912622,1,graph,-15.210426330566406
496,greeted,6.212606095751519,3,g_reet_ed,-21.420730590820312
497,grilled,6.582025138892826,2,gr_illed,-19.60009384155273
498,grocer,8.674025985443025,2,gro_cer,-19.55597686767578
499,groundskeeper,5.973809611869261,2,grounds_keeper,-24.57261657714844
500,groupie,6.2766434893416445,2,group_ie,-21.72309112548828
501,guaranteed,7.788211557847076,3,gu_arant_eed,-18.61738395690918
502,guarantor,7.270312886079025,3,gu_arant_or,-22.643338203430176
503,guard,11.076217337122133,1,guard,-14.46074676513672
504,guest,9.7743465082129,2,gu_est,-15.111278533935549
505,guide,10.251076342113604,1,guide,-15.423789978027344
506,gun,11.561077330232154,1,gun,-14.69964599609375
507,gunsmith,7.480992162869525,2,gun_smith,-20.00326538085937
508,gymnast,8.588210678651517,3,gy_mn_ast,-23.11864471435547
509,hacker,7.29776828253138,2,h_acker,-17.161609649658203
510,hailed,6.2324480165505225,2,h_ailed,-20.213085174560547
511,hairdresser,7.224753405767971,3,hair_dress_er,-19.170913696289062
512,hairstylist,5.905361848054571,4,ha_irst_yl_ist,-20.469593048095703
513,handcuffed,6.529418838262226,3,hand_c_uffed,-21.70845031738281
514,handyman,6.361302477572996,3,hand_y_man,-20.907733917236328
515,harassed,7.024649030453636,2,har_assed,-20.165191650390625
516,hassled,5.198497031265826,3,h_ass_led,-23.37709045410156
517,hated,7.370860166536716,2,h_ated,-18.64530563354492
518,hatter,8.263332667439967,2,h_atter,-20.11215591430664
